text|date
"Updated: SHOUT OUT to the manager on duty at N Nevada Ave @Costco, who handled this guy &amp; informed my friend they are cancelling memberships for willful noncompliance.

#MaskUp or #StayHome . People w/ cancer still need to be able to get their groceries. ❤️👍

Thanks Costco!!! https://t.co/KfKqOpa213"|2021-01-10 23:24:14
There’s been another major jump in cases of #COVID19Ireland at #Wexford General Hospital. There are now 35 confirmed cases on site with 6 Covid patients in critical care. 15 general beds available but 0 critical care beds. A worrying situation. #stayhome|2021-01-10 23:24:02
"I knew that #CapitolRiot last week wasn't going to turn out well. 🥺
Protest are never pretty. 
You couldn't pay me a million dollars to get in that mess.  😱
Should have #StayHome"|2021-01-10 23:23:59
@fmwales So if you can, explain how local golf courses can have up to 10 people playing golf today when you said they were shut. This us not a dig it's a concern of blaintent disregard for human life, Wales and the control of the virus! #StayHome|2021-01-10 23:23:43
@eRileyCasey At this rate, inauguration might look like de Blasio dancing without a crowd in Times Square on NYE. #StayHome #WashYourHands|2021-01-10 23:23:43
Room Rater PSA from Canada and @brittlestar. Be a hero. It’s not hard. #StayHome 10/10 https://t.co/N4CXLEjVNc|2021-01-10 23:22:54
"Day #365 of the #Pandemic:  California sets new record for deaths in a single day.  Again.

https://t.co/qEKWxfkEKJ

#Corona #Covid19 #coronavirus #WearAMask
 #StayHome
 #COVIDIOTS"|2021-01-10 23:22:47
Please I beg you to #StayHome  I’m so scared for everyone. We won’t have an #nhs by the end of this if things carry on. It is like working in a never ending war zone for the poor staff.  #StayHomeSaveLives #ShieldingSavesLives #StillShielding #WearAMask #NHSheroes https://t.co/8lhaS337M8|2021-01-10 23:22:09
"Dole Fruit Bowls, Cherry Mixed Fruit in 100% Fruit Juice, 12 Count, 4 Ounce Cups : Grocery &amp; Gourmet Food 

#PleaseRT 
 Amazon🇺🇸 
👉  https://t.co/WH6Hhu3ISb 

#AmazonPantry #StayHome 

Click here for Amazon Pantry
👉 https://t.co/Tr1kmlDdAn https://t.co/P8XCYfbeMv"|2021-01-10 23:20:03
Please #Ireland #StayHome 🙏🏼 https://t.co/CqPOx0Pqmx|2021-01-10 23:18:56
It’s quite simple really.  #COVID19 #NeverendingLockdown until we all #StayHome https://t.co/VrriCzHLoa|2021-01-10 23:18:52
